condition_id,rule,L,rho,horizon,n,real_R2,real_R2_ci_low,real_R2_ci_high,real_slope_raw,real_slope_raw_ci_low,real_slope_raw_ci_high,iso_shuffle_R2,iso_shuffle_R2_ci_low,iso_shuffle_R2_ci_high,iso_shuffle_slope_raw,iso_shuffle_slope_raw_ci_low,iso_shuffle_slope_raw_ci_high,target_shuffle_R2,target_shuffle_R2_ci_low,target_shuffle_R2_ci_high,target_shuffle_slope_raw,target_shuffle_slope_raw_ci_low,target_shuffle_slope_raw_ci_high
GoL_L64_rho0.30,GoL,64,0.3,100,1000,0.25452435416601893,0.2179759358283812,0.30375883064760234,-0.8280432340231019,-0.9083004719969474,-0.7499428873789137,0.0012668886515347921,1.5749805311576777e-06,0.004969650156272768,0.05841946342856741,-0.0983285528028603,0.09014855869229989,0.002262578679304683,1.1750177225822169e-06,0.0046259121648328325,-0.07848292294557514,-0.09616709774369325,0.10857850119582277
GoL_L64_rho0.30,GoL,64,0.3,200,1000,0.22544117057577073,0.18115504354418568,0.27269785674665653,-0.7802443375468747,-0.8685874217317319,-0.6924152439966043,0.00030000376807903795,1.0339702904621496e-06,0.0044358050403783475,-0.028462783207950332,-0.0941808331362637,0.09398196449482663,0.0013916171172868586,2.8135170026810656e-07,0.0039081785839483905,0.06169046739714186,-0.09079133431742349,0.09299727361887172
GoL_L64_rho0.35,GoL,64,0.35,1,1000,0.3721250625821454,0.32644639515085294,0.4199587951164382,-0.9569566884114826,-1.0277882316073916,-0.8875247890962118,0.000654831132296696,7.150916197351536e-07,0.004755488986480339,-0.04014324547828798,-0.09694049782026944,0.1071142775103606,0.0003070096841458758,9.113231622726039e-07,0.0053010725363153,0.0295734164954794,-0.12070265933041034,0.08586205162435111
GoL_L64_rho0.35,GoL,64,0.35,5,1000,0.3586493844719736,0.31092118997039037,0.4044560481452752,-0.8695467749200074,-0.9383447690735328,-0.7940296163945217,0.0008100131695387702,8.799903018885669e-07,0.004632405180499786,-0.04132415137035266,-0.08080139640301486,0.09237223000544467,0.0015281848109972573,2.2648445221318257e-06,0.00542039877394336,0.05930888690718362,-0.0987021424008606,0.09275459974295883
GoL_L64_rho0.35,GoL,64,0.35,10,1000,0.3251887723404536,0.27639607548618317,0.3772068248160847,-0.8462564033611526,-0.9254641155954922,-0.7671947403702963,0.0018770427800035572,1.4743728363797451e-06,0.0055659245462843,-0.06429412378742955,-0.10802458182419429,0.09489541532069837,0.0006344981062161859,1.379431201789516e-06,0.0039967809446146045,-0.03897567217479525,-0.08785388687263769,0.09164912972170391
GoL_L64_rho0.35,GoL,64,0.35,25,1000,0.2634953678255145,0.21853422576856782,0.3123758987525283,-0.816717669532832,-0.9033016140440323,-0.7431372324434782,0.000198097831382138,2.0405212468155297e-06,0.004432300749088627,0.022393672359160337,-0.09101947605362402,0.1009072664689136,0.0015310314916087142,6.00388781402117e-07,0.004783777975105824,-0.06407983385406188,-0.096039647300669,0.10060516597416615
GoL_L64_rho0.35,GoL,64,0.35,50,1000,0.24096231452461625,0.1998931094889435,0.28636094566747794,-0.7975532953557529,-0.8859438436359146,-0.708611047547937,0.001161786933159159,9.60892943357994e-07,0.00438221070869805,0.05537941892514067,-0.09365546842913722,0.09902541910324394,0.0008643462478118424,2.217933175521769e-06,0.00417902860524529,0.049049357515632254,-0.09424583147755736,0.10204744375101363
GoL_L64_rho0.35,GoL,64,0.35,100,1000,0.2121733543637906,0.17276505817274662,0.2578736113415137,-0.7580171529240789,-0.8407112707077504,-0.6755820903941168,7.785846847219169e-05,1.134018792245395e-06,0.005187263660790599,0.01452066614416628,-0.11075774868080823,0.1108009829113486,9.456786213446478e-06,1.5763280363262357e-06,0.00424660404851069,-0.005228777128448312,-0.10102526000810472,0.09074942389013062
GoL_L64_rho0.35,GoL,64,0.35,200,1000,0.23663719509968717,0.1928957179885431,0.27628025832501996,-0.8216207030178584,-0.8970121949974212,-0.7310390784663531,0.0012045700273684012,2.504168377609473e-06,0.004274511816975609,0.058620011035175675,-0.10417167317832668,0.10067111821573368,1.6322092571519065e-05,1.366033866578853e-06,0.004484753253495623,-0.007050694515209321,-0.10317426567446543,0.09677163092744902
HighLife_L128_rho0.20,HighLife,128,0.2,1,1000,0.3290216620059492,0.2879262082896816,0.3705571559894372,-0.6139537073516848,-0.655983455777354,-0.5651115956695879,2.0176143372241384e-05,2.897579692848207e-06,0.004811264431535133,-0.004807756436464242,-0.06710014757995607,0.06592063475759631,0.008245870691294788,1.0470702700521307e-06,0.003902297837086422,0.09741280122066417,-0.059713516929894676,0.06364248018076102
HighLife_L128_rho0.20,HighLife,128,0.2,5,1000,0.21114866254926945,0.17093266181424585,0.2592435567317153,-0.5908408389413504,-0.6713686655746695,-0.5249901224445975,9.006489733021095e-05,1.0504178215520189e-06,0.005020924506609807,-0.012202648958765591,-0.08031238353893054,0.08426815504353259,0.0023323097800770354,7.603022843721831e-07,0.0046985630806859625,-0.06238416631854816,-0.07911682162360034,0.07502930615157581
HighLife_L128_rho0.20,HighLife,128,0.2,10,1000,0.17754549980222611,0.1434299701927327,0.22094426954283553,-0.5828758548500573,-0.6648594706746613,-0.5138597406158449,7.807745894261586e-09,7.353447896873978e-07,0.004925573224678184,0.00012223176001429487,-0.0825589997721764,0.09420499099451864,0.0009433802315060857,2.1871483747326616e-06,0.004067927863045922,-0.042480385166814065,-0.08941213454955009,0.07449433200086887
HighLife_L128_rho0.20,HighLife,128,0.2,25,1000,0.1386458973964182,0.10830680096638466,0.1776354625472728,-0.5477139318474138,-0.6273016385866996,-0.47566545953807143,0.00012833516674914947,1.2776151811888515e-06,0.004751923498250523,-0.016663764372141013,-0.0896345554095194,0.08780314117627168,1.441442926652936e-05,3.270545640893241e-07,0.004747745244397675,0.005587570762915795,-0.08546678325592501,0.08928143136368062
HighLife_L128_rho0.20,HighLife,128,0.2,50,1000,0.1300187002137443,0.09818380679997281,0.16426930627356573,-0.5708027174244362,-0.6612943289263781,-0.4931135377379282,0.001111024394401916,6.686338280742499e-07,0.003987004543985915,-0.052764875687420026,-0.09794959308280932,0.08810304146610456,0.0006419458751780738,3.8122959468978037e-07,0.004020760363263698,-0.04036696600426769,-0.0938768489238582,0.08836827293689081
HighLife_L128_rho0.20,HighLife,128,0.2,100,1000,0.12513244868029016,0.08773906409968812,0.16594292251218695,-0.5779484368709454,-0.6723313962349162,-0.4779591015696497,0.00012042400636946837,9.779885055849482e-07,0.00590083799564113,-0.01792918950801439,-0.10628700714665765,0.10817181022124653,0.0003054867436919073,2.1383594346058302e-07,0.00484215962114764,0.028981195019183958,-0.09764933809794632,0.10480510663023289
HighLife_L128_rho0.20,HighLife,128,0.2,200,1000,0.11219618330597436,0.08256995625029387,0.148437383712108,-0.5849110101640229,-0.6775450911466748,-0.4876013971099484,0.0006236340572707277,8.859085786100395e-07,0.005675353945656259,0.04360794959116281,-0.12034765306460685,0.09635576898097242,8.844693502541023e-05,1.9328108692207024e-06,0.0036801089165008375,-0.016894801564694945,-0.10456823532389856,0.08988564832936088
HighLife_L128_rho0.25,HighLife,128,0.25,1,1000,0.32748261994728634,0.2808675708854855,0.3696563882692713,-0.7026239235988362,-0.7584310209082444,-0.6398842931193096,0.0018287806073562507,1.0512762308123592e-06,0.005411172489490498,-0.05250608154997734,-0.08201840002345633,0.07484970781915656,0.0007148857481568127,2.7370229709056115e-07,0.0046403422539580946,-0.033348705913946466,-0.07746808756961647,0.07102144200565282
HighLife_L128_rho0.25,HighLife,128,0.25,5,1000,0.2735527163804138,0.22693120518034857,0.32213161983726385,-0.6813060832832467,-0.7510621851816626,-0.6159202243058519,0.00014546476099919214,4.9168161989382455e-06,0.004612295532493565,0.015710885001418012,-0.07149245769716525,0.08520309304599254,1.4203938392132187e-07,8.462733483399765e-07,0.004402908595004209,-0.0004999989831723416,-0.0704587590120601,0.07915255177850289
