split_type,heldout,model,n_train,n_test,n_features,test_R2,test_corr_pred_target,mean_prediction,features
leave_condition,GoL_L128_rho0.20,fate_core,15000,1000,4,0.026554686418556517,0.16431817874564822,-0.3174657155728923,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_condition,GoL_L128_rho0.20,fate_all,15000,1000,8,0.3655633281645464,0.6054571451069757,0.15583506558909835,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L128_rho0.20,class_counts,15000,1000,15,-0.005406588121864786,0.06222802695606135,3.5288082441319895,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_condition,GoL_L128_rho0.20,class_losses,15000,1000,15,0.005042310664192362,0.14777923630655276,2.8332291168311983,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L128_rho0.20,class_counts_plus_losses,15000,1000,30,0.344896089810683,0.6061740497947024,-4.886096755422604,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L128_rho0.25,iso_count,15000,1000,1,0.0031309228784421883,0.6322206447232885,-1.959085544333264,iso_count
leave_condition,GoL_L128_rho0.25,local_window_loss,15000,1000,1,0.010230096526849475,0.7408803751855976,-3.8539019258133433,iso_local_window_loss_sum
leave_condition,GoL_L128_rho0.25,local_window_delta_loss_gain,15000,1000,3,0.055975109099556164,0.5242216518917837,-8.92343580784068,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L128_rho0.25,fate_core,15000,1000,4,0.016815819048218383,0.1430248403799279,2.5967575021808993,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_condition,GoL_L128_rho0.25,fate_all,15000,1000,8,0.3899883567560417,0.6269151899662528,-2.1637513056835407,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L128_rho0.25,class_counts,15000,1000,15,0.005217671146947156,0.07546255738930895,-0.7286134557571149,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_condition,GoL_L128_rho0.25,class_losses,15000,1000,15,0.01781463339976974,0.27926877527955607,-2.7943729689492267,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L128_rho0.25,class_counts_plus_losses,15000,1000,30,0.36757555548511534,0.6087735753077215,0.5869344801379345,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L128_rho0.30,iso_count,15000,1000,1,0.0023921053930384684,0.5797967572963184,-2.0220041484042826,iso_count
leave_condition,GoL_L128_rho0.30,local_window_loss,15000,1000,1,0.009691550855930986,0.7210012418015826,-3.7341318912651875,iso_local_window_loss_sum
leave_condition,GoL_L128_rho0.30,local_window_delta_loss_gain,15000,1000,3,0.08385984101923971,0.45272437937462573,0.7742432872822688,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L128_rho0.30,fate_core,15000,1000,4,0.03731346498044996,0.2202416058151545,-0.9485782008167332,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_condition,GoL_L128_rho0.30,fate_all,15000,1000,8,0.40781969621749314,0.6412812645518089,-2.7966072087201383,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_condition,GoL_L128_rho0.30,class_counts,15000,1000,15,0.00868604797643635,0.15981081007652922,-3.661194184273842,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_condition,GoL_L128_rho0.30,class_losses,15000,1000,15,0.015286917178630288,0.3918875625079129,-5.884367252982413,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L128_rho0.30,class_counts_plus_losses,15000,1000,30,0.4033546334400795,0.6352621291516893,-0.0823475240905809,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L128_rho0.35,iso_count,15000,1000,1,0.0027888117612581143,0.598142901266146,-1.6540654257244765,iso_count
leave_condition,GoL_L128_rho0.35,local_window_loss,15000,1000,1,0.010703811846786482,0.7069050569219116,-2.922785780085046,iso_local_window_loss_sum
leave_condition,GoL_L128_rho0.35,local_window_delta_loss_gain,15000,1000,3,0.05473929592324345,0.42035391080142626,8.757326499986714,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
