sample_id,condition_id,rule,L,rho,live_count,density,block_var,block_entropy,components_t0,components_t1,fine_net_1,iso_count,iso_die,iso_survive,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum
6183,GoL_L128_rho0.30,GoL,128,0.3,4911,0.29974365234375,0.0030502043664455414,1.3352811581279105,2110,1229,-881,945,534,411,64,347,758,539,-2056,2116,60
6184,GoL_L128_rho0.30,GoL,128,0.3,4973,0.30352783203125,0.0031476877629756927,1.3317971537331785,2112,1165,-947,923,505,418,54,364,763,503,-2024,2075,51
6185,GoL_L128_rho0.30,GoL,128,0.3,4898,0.2989501953125,0.0033774226903915405,1.3255131278399264,2068,1220,-848,854,486,368,60,308,688,466,-1797,1850,53
6186,GoL_L128_rho0.30,GoL,128,0.3,4887,0.29827880859375,0.0032052360475063324,1.3578355431438454,2065,1199,-866,887,515,372,45,327,735,514,-1913,1967,54
6187,GoL_L128_rho0.30,GoL,128,0.3,4902,0.2991943359375,0.003080710768699646,1.331882056059392,2138,1185,-953,891,454,437,65,372,711,496,-1950,2008,58
6188,GoL_L128_rho0.30,GoL,128,0.3,4905,0.29937744140625,0.0035499893128871918,1.392838446962957,2101,1156,-945,900,489,411,51,360,758,523,-2027,2072,45
6189,GoL_L128_rho0.30,GoL,128,0.3,4876,0.297607421875,0.002984464168548584,1.3282443337128362,2077,1217,-860,880,489,391,58,333,723,500,-1812,1877,65
6190,GoL_L128_rho0.30,GoL,128,0.3,4953,0.30230712890625,0.003387507051229477,1.448399158849095,2119,1220,-899,943,530,413,53,360,785,542,-2130,2185,55
6191,GoL_L128_rho0.30,GoL,128,0.3,4878,0.2977294921875,0.0030433982610702515,1.3066219087561655,2077,1110,-967,891,500,391,52,339,737,521,-1947,1985,38
6192,GoL_L128_rho0.30,GoL,128,0.3,4861,0.29669189453125,0.0026883743703365326,1.266431833662878,2050,1238,-812,886,476,410,56,354,736,476,-1735,1788,53
6193,GoL_L128_rho0.30,GoL,128,0.3,5021,0.30645751953125,0.0034262798726558685,1.3478666008466107,2106,1214,-892,886,464,422,41,381,754,502,-2013,2050,37
6194,GoL_L128_rho0.30,GoL,128,0.3,4947,0.30194091796875,0.003221597522497177,1.3297404682241711,2119,1201,-918,897,498,399,55,344,743,523,-1940,1993,53
6195,GoL_L128_rho0.30,GoL,128,0.3,5013,0.30596923828125,0.003082539886236191,1.372022350807134,2064,1236,-828,851,472,379,59,320,701,480,-1697,1738,41
6196,GoL_L128_rho0.30,GoL,128,0.3,4942,0.3016357421875,0.00361083447933197,1.4510461164731527,2075,1209,-866,876,462,414,53,361,731,504,-1911,1954,43
6197,GoL_L128_rho0.30,GoL,128,0.3,4929,0.30084228515625,0.003279205411672592,1.3301486293149327,2072,1183,-889,878,472,406,54,352,729,478,-1841,1887,46
6198,GoL_L128_rho0.30,GoL,128,0.3,4916,0.300048828125,0.003697812557220459,1.4546013021842656,2124,1162,-962,955,528,427,58,369,796,537,-2101,2152,51
6199,GoL_L128_rho0.30,GoL,128,0.3,5023,0.30657958984375,0.003330465406179428,1.4010686837809672,2085,1261,-824,909,516,393,64,329,718,515,-1859,1913,54
